School Name,Cost of Tuition,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Occidental College,"49,248",Private,"$51,900.00 ","$105,000.00 ",N/A,"$54,800.00 ","$157,000.00 ",N/A
Ohio State University (OSU),"31,972",Public,"$44,900.00 ","$83,700.00 ","$45,500.00 ","$60,700.00 ","$116,000.00 ","$162,000.00 "
Ohio University,"20,280",Public,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Ohio University,"20,280",Public,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Oklahoma State University,"20,978",Public,"$42,800.00 ","$80,700.00 ","$40,100.00 ","$56,500.00 ","$114,000.00 ","$151,000.00 "
Oregon State University (OSU),"28,767",Public,"$45,100.00 ","$83,300.00 ","$46,900.00 ","$64,000.00 ","$113,000.00 ","$146,000.00 "
Penn State - Harrisburg,"22,344",Public,"$45,700.00 ","$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 "
Pennsylvania State University (PSU),"35,173",Public,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
Pennsylvania State University (PSU),"35,173",Public,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
Pittsburg State University,"16,978",Public,"$40,400.00 ","$58,200.00 ","$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 "
"Polytechnic University of New York, Brooklyn","46,376",Private,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 "
Pomona College,"47,620",Private,"$48,600.00 ","$101,000.00 ",N/A,"$63,300.00 ","$161,000.00 ",N/A
Portland State University (PSU),"26,130",Public,"$42,600.00 ","$70,900.00 ","$40,700.00 ","$52,300.00 ","$94,400.00 ","$123,000.00 "
Princeton University,"54,912",Private,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 "
Purdue University,"29,946",Public,"$51,400.00 ","$90,500.00 ","$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 "
Randolph-Macon College,"42,952",Public,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
Randolph-Macon College,"42,952",Private,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
Reed College,"58,623",Private,"$40,500.00 ","$81,100.00 ",N/A,"$67,400.00 ","$101,000.00 ",N/A
Rensselaer Polytechnic Institute (RPI),"56,034",Private,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 "
Rochester Institute of Technology (RIT),"45,895",Private,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 "
Rutgers University,"32,358",Public,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 "
San Diego State University (SDSU),"18,136",Public,"$46,200.00 ","$85,200.00 ","$45,500.00 ","$61,800.00 ","$116,000.00 ","$158,000.00 "
San Francisco State University (SFSU),"17,363",Public,"$47,300.00 ","$86,400.00 ","$45,100.00 ","$62,700.00 ","$114,000.00 ","$150,000.00 "
San Jose State University (SJSU),"18,538",Public,"$53,500.00 ","$95,600.00 ","$50,700.00 ","$70,500.00 ","$122,000.00 ","$156,000.00 "
Siena College,"40,248",Private,"$45,500.00 ","$85,200.00 ","$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 "
Skidmore College,"49,120",Private,"$41,600.00 ","$74,600.00 ",N/A,"$42,800.00 ","$147,000.00 ",N/A
Smith College,"46,288",Private,"$44,000.00 ","$83,900.00 ","$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 "
South Dakota School of Mines & Technology,"14,940",Public,"$55,800.00 ","$93,400.00 ","$71,500.00 ","$81,900.00 ","$122,000.00 ","$147,000.00 "
South Dakota State University (SDSU),"11,053",Public,"$41,100.00 ","$73,500.00 ","$34,100.00 ","$49,900.00 ","$99,400.00 ","$129,000.00 "
Southern Illinois University Carbondale,"26,390",Public,"$43,000.00 ","$72,500.00 ","$38,300.00 ","$51,300.00 ","$99,300.00 ","$139,000.00 "
Southern Utah University,"19,132",Public,"$41,900.00 ","$56,500.00 ","$30,700.00 ","$39,700.00 ","$78,400.00 ","$116,000.00 "
St. Cloud State University,"15,732",Public,"$41,800.00 ","$71,400.00 ","$38,700.00 ","$49,400.00 ","$101,000.00 ","$126,000.00 "
St. Olaf College,"42,940",Private,"$45,300.00 ","$86,200.00 ","$41,300.00 ","$61,000.00 ","$120,000.00 ","$185,000.00 "
State University of New York (SUNY) at Albany,"27,722",Public,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
State University of New York (SUNY) at Albany,"27,722",Public,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
State University of New York (SUNY) at Buffalo,"24,461",Public,"$46,200.00 ","$81,700.00 ","$45,900.00 ","$61,400.00 ","$110,000.00 ","$147,000.00 "
State University of New York (SUNY) at Farmingdale,"17,658",Public,"$47,300.00 ","$84,200.00 ","$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 "
State University of New York (SUNY) at Fredonia,"17,924",Public,"$37,800.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 "
State University of New York (SUNY) at Geneseo,17963,Public,"$42,300.00 ","$81,300.00 ","$39,300.00 ","$47,600.00 ","$117,000.00 ","$173,000.00 "
State University of New York (SUNY) at Oneonta,17720,Public,"$37,500.00 ","$76,700.00 ","$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 "
State University of New York (SUNY) at Oswego,17784,Public,"$38,000.00 ","$77,800.00 ","$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 "
State University of New York (SUNY) at Plattsburgh,"19,302",Public,"$40,800.00 ","$76,200.00 ","$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 "
State University of New York (SUNY) at Potsdam,"18,973",Public,"$38,000.00 ","$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 "
Stevens Institute of Technology,"54,490",Private,"$60,600.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 "
Stony Brook University,"23,935",Public,"$49,500.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 "
Swarthmore College,"54,692",Private,"$49,700.00 ","$104,000.00 ",N/A,"$67,200.00 ","$167,000.00 ",N/A
Tarleton State University (TSU),"15,990",Public,"$40,800.00 ","$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 "
Tennessee Technological University,"23,443",Public,"$46,200.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 "
Texas A&M University,"28,768",Public,"$49,700.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 "
Thomas Aquinas College,"24,500",Private,"$41,500.00 ","$67,500.00 ",N/A,"$44,600.00 ","$93,100.00 ",N/A
Union College,"71,607",Private,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 "
University of Akron,"19,040",Public,"$41,100.00 ","$70,300.00 ","$40,600.00 ","$53,300.00 ","$95,200.00 ","$127,000.00 "
University of Alabama at Birmingham (UAB),"17,654",Public,"$39,200.00 ","$70,100.00 ","$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 "
University of Alabama at Huntsville (UAH),"20,622",Public,"$43,100.00 ","$82,700.00 ","$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 "
"University of Alabama, Tuscaloosa","25,950",Public,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
"University of Alabama, Tuscaloosa","25,950",Public,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
"University of Alaska, Anchorage","17,177",Public,"$45,900.00 ","$72,600.00 ","$39,800.00 ","$56,600.00 ","$99,300.00 ","$137,000.00 "
University of Arizona,"37,856",Public,"$47,500.00 ","$86,100.00 ","$44,800.00 ","$61,700.00 ","$117,000.00 ","$160,000.00 "
University of Arkansas,"21,826",Public,"$44,100.00 ","$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 "
University of Arkansas - Monticello (UAM),"12,296",Public,"$39,200.00 ","$74,500.00 ","$32,800.00 ","$46,100.00 ","$110,000.00 ","$161,000.00 "
University of California at Los Angeles (UCLA),"43,906",Public,"$52,600.00 ","$101,000.00 ","$51,300.00 ","$72,500.00 ","$139,000.00 ","$193,000.00 "
"University of California, Berkeley","38,139",Public,"$59,900.00 ","$112,000.00 ","$59,500.00 ","$81,000.00 ","$149,000.00 ","$201,000.00 "
"University of California, Davis","45,131",Public,"$52,300.00 ","$99,600.00 ","$52,000.00 ","$71,600.00 ","$135,000.00 ","$202,000.00 "
"University of California, Irvine (UCI)","37,960",Public,"$48,300.00 ","$96,700.00 ","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 "
"University of California, Riverside (UCR)","38,235",Public,"$46,800.00 ","$81,300.00 ","$37,200.00 ","$59,900.00 ","$109,000.00 ","$134,000.00 "
"University of California, San Diego (UCSD)","44,918",Public,"$51,100.00 ","$101,000.00 ","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 "
"University of California, Santa Barbara (UCSB)","45,153",Public,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
"University of California, Santa Barbara (UCSB)","45,153",Public,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
"University of California, Santa Cruz (UCSC)","38,169",Public,"$44,700.00 ","$84,100.00 ","$46,100.00 ","$62,000.00 ","$121,000.00 ","$165,000.00 "
University of Central Florida (UCF),"23,377",Public,"$42,600.00 ","$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 "
University of Colorado - Boulder (UCB),"38,777",Public,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 "
University of Colorado - Denver,"23,704",Public,"$46,100.00 ","$84,400.00 ","$46,400.00 ","$58,600.00 ","$105,000.00 ","$144,000.00 "
University of Connecticut (UConn),"39,622",Public,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 "
University of Delaware,"34,939",Public,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 "
University of Florida (UF),"29,804",Public,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Florida (UF),"29,804",Public,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Georgia (UGA),"31,620",Public,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
University of Georgia (UGA),"31,620",Public,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
University of Hawaii,"31,516",Public,"$43,800.00 ","$76,000.00 ","$40,400.00 ","$56,300.00 ","$104,000.00 ","$128,000.00 "
University of Houston (UH),"20,519",Public,"$46,000.00 ","$79,900.00 ","$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 "
University of Idaho,"21,024",Public,"$44,900.00 ","$82,000.00 ","$43,000.00 ","$56,700.00 ","$104,000.00 ","$142,000.00 "
